id,Authors,BestEstimate,CorrelationCoefficient,StandardError,Tstatistic,Observations,DegreesofFreedom,NumberofCountries,TotalSpending,GovernmentConsumption,PublicInvestment,SocialSpending,EducationSpending,HealthSpending,OtherSpending,TradeGlobalization,FinancialGlobalization,OverallEconomicGlobalization,ControlVariables,CountryFixedEffects,TimeFixedEffects,CrossSection,StartingYearData,EndYearData,AdvancedCountriesOnly,DevelopingCountriesOnly,MixofCountries,EconometricStrategy,OLS,RandomEffects,GMM,OtherEstimator,JournalName,YearofPublication,EconomicsJournal,JournalImpactFactor,Primary,Crossauthor,Prior,TermsOfTradeRisk,IncomeLevel,GDPgrowth,Unemployment,LaborPower,PartisanPolitics,OldAge,Democracy,GlobalizationInteracted,OtherGovSpending,LevelLevel,ChangeChange,LevelChange,ChangeLevel
3,Alesina and Wacziarg 1998,0,-0.021,0.011538462,-1.82,101,89,101,0,0,0,0,0,0,1,1,0,0,"Population, initial income, age dependency ratio, democracy index, urbanization, ethnolinguistic fractionalization, latin america dummy, Sub-Saharan Africa dummy, Southeast Asia dummy, OECD dummy",0,0,1,1980,1984,0,0,1,OLS,1,0,0,0,Journal of Public Economics,1998,1,1.905,1,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0
3,Alesina and Wacziarg 1998,0,0.163,0.035357918,4.61,91,79,91,1,0,0,0,0,0,0,1,0,0,"Population, initial income, population density, age dependency ratio, ethnolinguistic fractionalization, Latin America dummy, Sub-Saharan Africa dummy, South East Asia dummy, OECD dummy",0,0,1,1980,1984,0,0,1,OLS,1,0,0,0,Journal of Public Economics,1998,1,1.905,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
3,Alesina and Wacziarg 1998,0,0.012,0.012903226,0.93,108,96,108,0,0,0,0,0,0,1,1,0,0,"Population, Initial income, democracy index, ethnolinguistic fractionalization, war dummy, Latin America dummy, Sub-Saharan Africa dummy, South East Asia dummy, OECD dummy",0,0,1,1980,1984,0,0,1,OLS,1,0,0,0,Journal of Public Economics,1998,1,1.905,1,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0
3,Alesina and Wacziarg 1998,0,0.015,0.010791367,1.39,109,97,109,0,0,0,0,1,0,0,1,0,0,"Population, Initial income, Population density, age dependency ratio, Democracy index, revolutions dummy, Latin America dummy, Sub-Saharan Africa dummy, South East Asia dummy, OECD dummy",0,0,1,1980,1984,0,0,1,OLS,1,0,0,0,Journal of Public Economics,1998,1,1.905,1,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0
3,Alesina and Wacziarg 1998,0,0.034,0.015044248,2.26,111,99,111,0,0,1,0,0,0,0,1,0,0,"Population, Initial income, population density, democracy index,  Latin America dummy, Sub-Saharan Africa dummy, South East Asia dummy, OECD dummy",0,0,1,1980,1984,0,0,1,OLS,1,0,0,0,Journal of Public Economics,1998,1,1.905,1,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0
4,Rodrik 1998,0,0.223,0.064,3.484375,103,92,103,0,1,0,0,0,0,0,1,0,0,"GDP per capita, age dependency ratio, urbanization, socialist dummy, OECD dummy, Latin america dummy, East Asia dummy, Sub-Saharan Africa dummy",0,0,1,1990,1992,0,0,1,OLS,1,0,0,0,Journal of Political Economy,1998,1,5.247,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0
4,Rodrik 1998,0,0.205,0.057,3.596491228,125,114,125,0,1,0,0,0,0,0,1,0,0,"GDP per capita, age dependency ratio, urbanization, socialist dummy, OECD dummy, Latin america dummy, East Asia dummy, Sub-Saharan Africa dummy",0,0,1,1985,1989,0,0,1,OLS,1,0,0,0,Journal of Political Economy,1998,1,5.247,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0
4,Rodrik 1998,0,0.534,0.134,3.985074627,75,64,75,0,0,1,0,0,0,0,1,0,0,"GDP per capita, age dependency ratio, urbanization, socialist dummy, OECD dummy, Latin america dummy, East Asia dummy, Sub-Saharan Africa dummy",0,0,1,1990,1992,0,0,1,OLS,1,0,0,0,Journal of Political Economy,1998,1,5.247,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0
4,Rodrik 1998,0,0.835,0.401,2.082294264,98,87,98,0,0,1,0,0,0,0,1,0,0,"GDP per capita, age dependency ratio, urbanization, socialist dummy, OECD dummy, Latin america dummy, East Asia dummy, Sub-Saharan Africa dummy",0,0,1,1985,1989,0,0,1,OLS,1,0,0,0,Journal of Political Economy,1998,1,5.247,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0
4,Rodrik 1998,0,0.272,0.094,2.893617021,99,88,99,0,1,0,0,0,0,0,1,0,0,"GDP per capita, age dependency ratio, urbanization, socialist dummy, OECD dummy, Latin america dummy, East Asia dummy, Sub-Saharan Africa dummy",0,0,1,1960,1992,0,0,1,OLS,1,0,0,0,Journal of Political Economy,1998,1,5.247,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0
4,Rodrik 1998,0,0.3,0.091,3.296703297,81,70,81,1,0,0,0,0,0,0,1,0,0,"GDP per capita, age dependency ratio, urbanization, socialist dummy, OECD dummy, Latin america dummy, East Asia dummy, Sub-Saharan Africa dummy",0,0,1,1985,1989,0,0,1,OLS,1,0,0,0,Journal of Political Economy,1998,1,5.247,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
4,Rodrik 1998,0,0.397,0.145,2.737931034,83,72,83,0,0,0,0,0,0,1,1,0,0,"GDP per capita, age dependency ratio, urbanization, socialist dummy, OECD dummy, Latin america dummy, East Asia dummy, Sub-Saharan Africa dummy",0,0,1,1985,1989,0,0,1,OLS,1,0,0,0,Journal of Political Economy,1998,1,5.247,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0
4,Rodrik 1998,0,0.267,0.154,1.733766234,82,71,82,0,0,0,0,0,0,1,1,0,0,"GDP per capita, age dependency ratio, urbanization, socialist dummy, OECD dummy, Latin america dummy, East Asia dummy, Sub-Saharan Africa dummy",0,0,1,1985,1989,0,0,1,OLS,1,0,0,0,Journal of Political Economy,1998,1,5.247,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0
4,Rodrik 1998,0,0.532,0.142,3.746478873,84,73,84,0,0,0,0,1,0,0,1,0,0,"GDP per capita, age dependency ratio, urbanization, socialist dummy, OECD dummy, Latin america dummy, East Asia dummy, Sub-Saharan Africa dummy",0,0,1,1985,1989,0,0,1,OLS,1,0,0,0,Journal of Political Economy,1998,1,5.247,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0
4,Rodrik 1998,0,0.349,0.174,2.005747126,84,73,84,0,0,0,0,0,1,0,1,0,0,"GDP per capita, age dependency ratio, urbanization, socialist dummy, OECD dummy, Latin america dummy, East Asia dummy, Sub-Saharan Africa dummy",0,0,1,1985,1989,0,0,1,OLS,1,0,0,0,Journal of Political Economy,1998,1,5.247,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0
4,Rodrik 1998,0,0.273,0.292,0.934931507,78,67,78,0,0,0,1,0,0,0,1,0,0,"GDP per capita, age dependency ratio, urbanization, socialist dummy, OECD dummy, Latin america dummy, East Asia dummy, Sub-Saharan Africa dummy",0,0,1,1985,1989,0,0,1,OLS,1,0,0,0,Journal of Political Economy,1998,1,5.247,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
4,Rodrik 1998,0,0.616,0.225,2.737777778,81,70,81,0,0,0,0,0,0,1,1,0,0,"GDP per capita, age dependency ratio, urbanization, socialist dummy, OECD dummy, Latin america dummy, East Asia dummy, Sub-Saharan Africa dummy",0,0,1,1985,1989,0,0,1,OLS,1,0,0,0,Journal of Political Economy,1998,1,5.247,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0
4,Rodrik 1998,0,0.618,0.24,2.575,81,70,81,0,0,0,0,0,0,1,1,0,0,"GDP per capita, age dependency ratio, urbanization, socialist dummy, OECD dummy, Latin america dummy, East Asia dummy, Sub-Saharan Africa dummy",0,0,1,1985,1989,0,0,1,OLS,1,0,0,0,Journal of Political Economy,1998,1,5.247,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0
4,Rodrik 1998,0,0.496,0.11,4.509090909,83,72,83,0,0,0,0,0,0,1,1,0,0,"GDP per capita, age dependency ratio, urbanization, socialist dummy, OECD dummy, Latin america dummy, East Asia dummy, Sub-Saharan Africa dummy",0,0,1,1985,1989,0,0,1,OLS,1,0,0,0,Journal of Political Economy,1998,1,5.247,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0
4,Rodrik 1998,0,0.097,0.184,0.527173913,81,70,81,0,0,0,0,0,0,1,1,0,0,"GDP per capita, age dependency ratio, urbanization, socialist dummy, OECD dummy, Latin america dummy, East Asia dummy, Sub-Saharan Africa dummy",0,0,1,1985,1989,0,0,1,OLS,1,0,0,0,Journal of Political Economy,1998,1,5.247,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0
4,Rodrik 1998,0,0.266,0.081,3.283950617,64,53,64,0,1,0,0,0,0,0,1,0,0,"GDP per capita, age dependency ratio, urbanization, socialist dummy, OECD dummy, Latin america dummy, East Asia dummy, Sub-Saharan Africa dummy",0,0,1,1985,1989,0,0,1,OLS,1,0,0,0,Journal of Political Economy,1998,1,5.247,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0
4,Rodrik 1998,0,0.23,0.083,2.771084337,61,50,61,0,1,0,0,0,0,0,1,0,0,"GDP per capita, age dependency ratio, urbanization, socialist dummy, OECD dummy, Latin america dummy, East Asia dummy, Sub-Saharan Africa dummy",0,0,1,1985,1989,0,0,1,OLS,1,0,0,0,Journal of Political Economy,1998,1,5.247,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0
4,Rodrik 1998,0,0.345,0.068,5.073529412,115,103,115,0,1,0,0,0,0,0,1,0,0,"Land area, GDP per capita, age dependency ratio, urbanization, socialist dummy, OECD dummy, Latin america dummy, East Asia dummy, Sub-Saharan Africa dummy",0,0,1,1985,1989,0,0,1,OLS,1,0,0,0,Journal of Political Economy,1998,1,5.247,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0
4,Rodrik 1998,0,0.221,0.087,2.540229885,120,108,120,0,1,0,0,0,0,0,1,0,0,"Population, GDP per capita, age dependency ratio, urbanization, socialist dummy, OECD dummy, Latin america dummy, East Asia dummy, Sub-Saharan Africa dummy",0,0,1,1985,1989,0,0,1,OLS,1,0,0,0,Journal of Political Economy,1998,1,5.247,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0
4,Rodrik 1998,0,0.229,0.07,3.271428571,89,77,89,0,1,0,0,0,0,0,1,0,0,"Government debt to GDP, GDP per capita, age dependency ratio, urbanization, socialist dummy, OECD dummy, Latin america dummy, East Asia dummy, Sub-Saharan Africa dummy",0,0,1,1985,1989,0,0,1,OLS,1,0,0,0,Journal of Political Economy,1998,1,5.247,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0
4,Rodrik 1998,0,0.214,0.065,3.292307692,113,101,113,0,1,0,0,0,0,0,1,0,0,"Inflation, GDP per capita, age dependency ratio, urbanization, socialist dummy, OECD dummy, Latin america dummy, East Asia dummy, Sub-Saharan Africa dummy",0,0,1,1985,1989,0,0,1,OLS,1,0,0,0,Journal of Political Economy,1998,1,5.247,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0
4,Rodrik 1998,0,0.385,0.08,4.8125,79,67,79,0,1,0,0,0,0,0,1,0,0,"Tax revenues from trade sources, GDP per capita, age dependency ratio, urbanization, socialist dummy, OECD dummy, Latin america dummy, East Asia dummy, Sub-Saharan Africa dummy",0,0,1,1985,1989,0,0,1,OLS,1,0,0,0,Journal of Political Economy,1998,1,5.247,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0
4,Rodrik 1998,0,0.355,0.067,5.298507463,79,67,79,0,1,0,0,0,0,0,1,0,0,"Share of trade taxes in all taxes, GDP per capita, age dependency ratio, urbanization, socialist dummy, OECD dummy, Latin america dummy, East Asia dummy, Sub-Saharan Africa dummy",0,0,1,1985,1989,0,0,1,OLS,1,0,0,0,Journal of Political Economy,1998,1,5.247,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0
4,Rodrik 1998,0,0.296,0.079,3.746835443,64,52,64,0,1,0,0,0,0,0,1,0,0,"VAT, GDP per capita, age dependency ratio, urbanization, socialist dummy, OECD dummy, Latin america dummy, East Asia dummy, Sub-Saharan Africa dummy",0,0,1,1985,1989,0,0,1,OLS,1,0,0,0,Journal of Political Economy,1998,1,5.247,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0
4,Rodrik 1998,0,0.315,0.068,4.632352941,79,67,79,0,1,0,0,0,0,0,1,0,0,"VAT in % of all taxes, GDP per capita, age dependency ratio, urbanization, socialist dummy, OECD dummy, Latin america dummy, East Asia dummy, Sub-Saharan Africa dummy",0,0,1,1985,1989,0,0,1,OLS,1,0,0,0,Journal of Political Economy,1998,1,5.247,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0
4,Rodrik 1998,0,0.248,0.06,4.133333333,107,95,107,0,1,0,0,0,0,0,1,0,0,"share of primary products in total exports, GDP per capita, age dependency ratio, urbanization, socialist dummy, OECD dummy, Latin america dummy, East Asia dummy, Sub-Saharan Africa dummy",0,0,1,1985,1989,0,0,1,OLS,1,0,0,0,Journal of Political Economy,1998,1,5.247,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0
4,Rodrik 1998,0,0.209,0.058,3.603448276,125,113,125,0,1,0,0,0,0,0,1,0,0,"dummy for oil-exporting countries, GDP per capita, age dependency ratio, urbanization, socialist dummy, OECD dummy, Latin america dummy, East Asia dummy, Sub-Saharan Africa dummy",0,0,1,1985,1989,0,0,1,OLS,1,0,0,0,Journal of Political Economy,1998,1,5.247,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0
4,Rodrik 1998,0,0.003,0.001,3,103,92,103,0,1,0,0,0,0,0,1,0,0,"GDP per capita, age dependency ratio, urbanization, socialist dummy, OECD dummy, Latin america dummy, East Asia dummy, Sub-Saharan Africa dummy",0,0,1,1990,1992,0,0,1,OLS,1,0,0,0,Journal of Political Economy,1998,1,5.247,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0
4,Rodrik 1998,0,-0.003,0.002,-1.5,97,84,97,0,1,0,0,0,0,0,1,0,0,"Interaction of trade to GDP with terms-of-trade-risk, GDP per capita, age dependency ratio, urbanization, socialist dummy, OECD dummy, Latin america dummy, East Asia dummy, Sub-Saharan Africa dummy",0,0,1,1990,1992,0,0,1,OLS,1,0,0,0,Journal of Political Economy,1998,1,5.247,1,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0
4,Rodrik 1998,0,-0.004,0.003,-1.333333333,92,77,92,0,1,0,0,0,0,0,1,0,0,"Interaction of trade to GDP with terms-of-trade-risk, Interaction of trade to GDP with export concentration index, GDP per capita, age dependency ratio, urbanization, socialist dummy, OECD dummy, Latin america dummy, East Asia dummy, Sub-Saharan Africa dummy",0,0,1,1990,1992,0,0,1,OLS,1,0,0,0,Journal of Political Economy,1998,1,5.247,1,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0
4,Rodrik 1998,1,-0.005,0.003,-1.666666667,97,83,97,0,1,0,0,0,0,0,1,0,0,"Interaction of trade to GDP with terms-of-trade-risk, interaction of per capita income with trade to GDP, GDP per capita, age dependency ratio, urbanization, socialist dummy, OECD dummy, Latin america dummy, East Asia dummy, Sub-Saharan Africa dummy",0,0,1,1990,1992,0,0,1,OLS,1,0,0,0,Journal of Political Economy,1998,1,5.247,1,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0
4,Rodrik 1998,0,-0.004,0.003,-1.333333333,96,82,96,0,1,0,0,0,0,0,1,0,0,"Interaction of trade to GDP with terms-of-trade-risk, interaction of primary share of exports with trade to GDP, GDP per capita, age dependency ratio, urbanization, socialist dummy, OECD dummy, Latin america dummy, East Asia dummy, Sub-Saharan Africa dummy",0,0,1,1990,1992,0,0,1,OLS,1,0,0,0,Journal of Political Economy,1998,1,5.247,1,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0
4,Rodrik 1998,0,0.0018,0.0008,2.25,662,562,94,0,1,0,0,0,0,0,1,0,0,"GDP per capita, terms of trade variability, interaction of trade to GDP with terms of trade variability",1,1,0,1960,1992,0,0,1,OLS,1,0,0,0,Journal of Political Economy,1998,1,5.247,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0
4,Rodrik 1998,0,0.0011,0.0006,1.833333333,662,656,94,0,1,0,0,0,0,0,1,0,0,"GDP per capita, terms of trade variability, interaction of trade to GDP with terms of trade variability",1,1,0,1960,1992,0,0,1,Random effects,0,1,0,0,Journal of Political Economy,1998,1,5.247,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0
4,Rodrik 1998,0,-0.0012,0.0008,-1.5,662,562,94,0,1,0,0,0,0,0,1,0,0,"GDP per capita, terms of trade variability, interaction of trade to GDP with terms of trade variability",1,1,0,1960,1992,0,0,1,OLS,1,0,0,0,Journal of Political Economy,1998,1,5.247,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0
4,Rodrik 1998,0,-0.0007,0.0006,-1.166666667,662,562,94,0,1,0,0,0,0,0,1,0,0,"GDP per capita, terms of trade variability, interaction of trade to GDP with terms of trade variability",1,1,0,1960,1992,0,0,1,Random effects,0,1,0,0,Journal of Political Economy,1998,1,5.247,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0
4,Rodrik 1998,0,-0.0172,0.0161,-1.068322981,662,562,94,0,1,0,0,0,0,0,1,0,0,"GDP per capita, terms of trade variability, interaction of trade to GDP with terms of trade variability",0,1,0,1960,1992,0,0,1,OLS,1,0,0,0,Journal of Political Economy,1998,1,5.247,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0
4,Rodrik 1998,0,-0.17,0.043,-3.953488372,19,15,19,0,0,0,1,0,0,0,1,0,0,"terms-of-trade-risk, interaction of trade to GDP with terms of trade risk",0,0,1,1985,1989,1,0,0,OLS,1,0,0,0,Journal of Political Economy,1998,1,5.247,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
4,Rodrik 1998,0,-0.005,0.01,-0.5,19,15,19,0,1,0,0,0,0,0,1,0,0,"terms-of-trade-risk, interaction of trade to GDP with terms of trade risk",0,0,1,1985,1989,1,0,0,OLS,1,0,0,0,Journal of Political Economy,1998,1,5.247,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0
4,Rodrik 1998,0,-0.043,0.021,-2.047619048,25,21,25,0,0,0,1,0,0,0,1,0,0,"terms-of-trade-risk, interaction of trade to GDP with terms of trade risk",0,0,1,1985,1989,0,0,1,OLS,1,0,0,0,Journal of Political Economy,1998,1,5.247,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
4,Rodrik 1998,0,0.006,0.005,1.2,25,21,25,0,1,0,0,0,0,0,1,0,0,"terms-of-trade-risk, interaction of trade to GDP with terms of trade risk",0,0,1,1985,1989,0,0,1,OLS,1,0,0,0,Journal of Political Economy,1998,1,5.247,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0
4,Rodrik 1998,0,-0.018,0.013,-1.384615385,68,56,68,0,0,0,1,0,0,0,1,0,0,"terms-of-trade-risk, interaction of trade to GDP with terms of trade risk, GDP per capita, age dependency ratio, urbanization, socialist dummy, OECD dummy, Latin america dummy, East Asia dummy, Sub-Saharan Africa dummy",0,0,1,1985,1989,0,0,1,OLS,1,0,0,0,Journal of Political Economy,1998,1,5.247,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0
4,Rodrik 1998,0,-0.002,0.003,-0.666666667,68,56,68,0,1,0,0,0,0,0,1,0,0,"terms-of-trade-risk, interaction of trade to GDP with terms of trade risk, GDP per capita, age dependency ratio, urbanization, socialist dummy, OECD dummy, Latin america dummy, East Asia dummy, Sub-Saharan Africa dummy",0,0,1,1985,1989,0,0,1,OLS,1,0,0,0,Journal of Political Economy,1998,1,5.247,1,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0
4,Rodrik 1998,0,-0.005,0.004,-1.25,82,70,82,0,1,0,0,0,0,0,1,0,0,"terms-of-trade-risk, interaction of trade openness with terms of trade risk, GDP per capita, age dependency ratio, urbanization, socialist dummy, OECD dummy, Latin america ",0,0,1,1985,1989,0,0,1,OLS,1,0,0,0,Journal of Political Economy,1998,1,5.247,1,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0
4,Rodrik 1998,0,-0.001,0.004,-0.25,116,104,116,0,1,0,0,0,0,0,1,0,0,"terms-of-trade-risk, interaction of trade openness with terms of trade risk, GDP per capita, age dependency ratio, urbanization, socialist dummy, OECD dummy, Latin ",0,0,1,1985,1989,0,0,1,OLS,1,0,0,0,Journal of Political Economy,1998,1,5.247,1,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0
4,Rodrik 1998,0,-0.006,0.003,-2,82,70,82,0,1,0,0,0,0,0,1,0,0,"terms-of-trade-risk, interaction of trade openness with terms of trade risk, GDP per capita, age dependency ratio, urbanization, socialist dummy, OECD dummy, Latin ",0,0,1,1985,1989,0,0,1,OLS,1,0,0,0,Journal of Political Economy,1998,1,5.247,1,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0
5,Huber and Stephens 2000,1,1.272,1.83,0.695081967,400,384,16,0,0,0,0,0,0,1,1,0,0,"Leftist cabinet, Christian democratic cabinet, index for constitutional structure, female labor force participation, GDP per capita, voter turnout, unemployment, military spending, strikes, inflation, authoritarian legacy, age dependency ratio",0,0,0,1963,1987,1,0,0,GLS,1,0,0,0,American Sociological Review,2000,0,5.063,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0
6,Iversen and Cusack 2000,0,-0.008,0.010810811,-0.74,350,292,15,0,0,0,0,0,0,1,1,0,0,"Financial openness index, left labor power, interaction of left labor power with trade to GDP, interaction of left labor power with capital openness, GDP growth, old age population, unemployment,",1,1,0,1961,1993,1,0,0,OLS,1,0,0,0,World Politics,2000,0,4.025,1,1,1,0,0,1,1,1,0,1,0,1,1,1,0,0,0
6,Iversen and Cusack 2000,0,-0.016,0.009248555,-1.73,350,292,15,0,1,0,0,0,0,0,1,0,0,"financial openness index, left labor power, interaction of left labor power with trade to GDP, interaction of left labor power with capital openness, GDP growth, old age population, unemployment,",1,1,0,1961,1993,1,0,0,OLS,1,0,0,0,World Politics,2000,0,4.025,1,1,1,0,0,1,1,1,0,1,0,1,1,1,0,0,0
6,Iversen and Cusack 2000,0,0.005,0.01,0.5,350,293,15,0,0,0,0,0,0,1,1,0,0,"financial openness index, left labor power, interaction of left labor power with trade to GDP, interaction of left labor power with capital openness, Unexpected growth, Automatic transfers",1,1,0,1961,1993,1,0,0,OLS,1,0,0,0,World Politics,2000,0,4.025,1,1,1,0,0,1,0,1,0,0,0,1,1,1,0,0,0
